"No.","Time","Source","Destination","Protocol","Length","Info"
"4255","152.389483350","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3117061 Ack=5303 Win=76288 Len=1392 TSval=2605127779 TSecr=3603663799 [TCP segment of a reassembled PDU]"
"4256","152.389487667","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=5303 Ack=3118453 Win=2176768 Len=0 TSval=3603663906 TSecr=2605127779"
"4257","152.389493979","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3118453 Ack=5303 Win=76288 Len=1392 TSval=2605127779 TSecr=3603663799 [TCP segment of a reassembled PDU]"
"4258","152.389502777","173.194.163.223","192.168.1.65","TLSv1.2","1458","Application Data [TCP segment of a reassembled PDU]"
"4259","152.389506864","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=5303 Ack=3121237 Win=2176768 Len=0 TSval=3603663906 TSecr=2605127779"
"4260","152.389517872","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3121237 Ack=5303 Win=76288 Len=1392 TSval=2605127780 TSecr=3603663799 [TCP segment of a reassembled PDU]"
"4261","152.389527216","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3122629 Ack=5303 Win=76288 Len=1392 TSval=2605127780 TSecr=3603663799 [TCP segment of a reassembled PDU]"
"4262","152.389538194","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=5303 Ack=3124021 Win=2176768 Len=0 TSval=3603663906 TSecr=2605127780"
"4263","152.389547122","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3124021 Ack=5303 Win=76288 Len=1392 TSval=2605127780 TSecr=3603663799 [TCP segment of a reassembled PDU]"
"4264","152.389555812","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3125413 Ack=5303 Win=76288 Len=1392 TSval=2605127780 TSecr=3603663799 [TCP segment of a reassembled PDU]"
"4265","152.389561009","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=5303 Ack=3126805 Win=2176768 Len=0 TSval=3603663906 TSecr=2605127780"
"4266","152.389570799","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3126805 Ack=5303 Win=76288 Len=1392 TSval=2605127780 TSecr=3603663799 [TCP segment of a reassembled PDU]"
"4267","152.389579485","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3128197 Ack=5303 Win=76288 Len=1392 TSval=2605127780 TSecr=3603663799 [TCP segment of a reassembled PDU]"
"4268","152.389584210","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=5303 Ack=3129589 Win=2176768 Len=0 TSval=3603663906 TSecr=2605127780"
"4269","152.389592314","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3129589 Ack=5303 Win=76288 Len=1392 TSval=2605127780 TSecr=3603663799 [TCP segment of a reassembled PDU]"
"4270","152.389599884","173.194.163.223","192.168.1.65","TCP","1458","443  >  55680 [ACK] Seq=3130981 Ack=5303 Win=76288 Len=1392 TSval=2605127780 TSecr=3603663799 [TCP segment of a reassembled PDU]"
"4271","152.389604154","192.168.1.65","173.194.163.223","TCP","66","55680  >  443 [ACK] Seq=5303 Ack=3132373 Win=2176768 Len=0 TSval=3603663906 TSecr=2605127780"
